time,key,event
1603890272.0748587,'t',r
1603890272.1197882,'i',p
1603890272.2409961,'i',r
1603890272.7816541,'f',p
1603890272.9118912,'f',r
1603890272.945121,'y',p
1603890273.029671,'y',r
1603890273.1858706,'i',p
1603890273.291715,'n',p
1603890273.33942,'i',r
1603890273.4137154,'n',r
1603890273.5758057,'g',p
1603890273.6820374,'g',r
1603890274.1834817,Key.space,p
1603890274.315411,Key.space,r
1603890274.5447314,'a',p
1603890274.6564476,'a',r
1603890274.763478,Key.space,p
1603890274.863058,Key.space,r
1603890274.9284763,'p',p
1603890275.0067554,'p',r
1603890275.0839796,'e',p
1603890275.1957886,'r',p
1603890275.2327895,'e',r
1603890275.2990716,'r',r
1603890275.3931308,'s',p
1603890275.4868422,'o',p
1603890275.5330863,'s',r
1603890275.646826,'n',p
1603890275.664194,'o',r
1603890275.7909267,'n',r
1603890276.0268238,'.',p
1603890276.145255,'.',r
1603890276.1717992,Key.space,p
1603890276.260841,Key.space,r
1603890276.3999794,Key.shift,p
1603890276.5688543,'T',p
1603890276.666949,'T',r
1603890276.68584,Key.shift,r
1603890276.8369095,'h',p
1603890276.9207659,'h',r
1603890277.0251727,'e',p
1603890277.123471,'e',r
1603890277.1588144,Key.space,p
1603890277.275922,Key.space,r
1603890277.3198564,'i',p
1603890277.4607553,'i',r
1603890277.4989986,'d',p
1603890277.5982363,'d',r
1603890277.6827018,'e',p
1603890277.8358383,'a',p
1603890277.8588355,'e',r
1603890278.0087585,'a',r
1603890278.0318038,Key.space,p
1603890278.1678886,Key.space,r
1603890278.215154,'i',p
1603890278.3366706,'i',r
1603890278.35055,'s',p
1603890278.471775,Key.space,p
1603890278.4917774,'s',r
1603890278.579998,Key.space,r
1603890278.6608746,'t',p
1603890278.7689126,'t',r
1603890278.7791338,'o',p
1603890278.8860521,'o',r
1603890278.938558,Key.space,p
1603890279.056728,Key.space,r
1603890279.1699786,'f',p
1603890279.2809129,'f',r
1603890279.3702245,'i',p
1603890279.4261851,'n',p
1603890279.511363,'i',r
1603890279.5759602,'n',r
1603890279.6525512,'d',p
1603890279.758143,'d',r
1603890280.0583477,Key.space,p
1603890280.148014,Key.space,r
1603890280.1679652,'a',p
1603890280.2982693,'a',r
1603890280.433541,'n',p
1603890280.5511792,'n',r
1603890281.0285888,Key.space,p
1603890281.1409414,Key.space,r
1603890281.2488332,'a',p
1603890281.3816636,'a',r
1603890281.4600575,'v',p
1603890281.5542955,'v',r
1603890281.6457746,'e',p
1603890281.7691987,'r',p
1603890281.7870014,'e',r
1603890281.9038568,'r',r
1603890281.9517212,'a',p
1603890282.110683,'a',r
1603890282.1289268,'g',p
1603890282.235805,'e',p
1603890282.2594383,'g',r
1603890282.4048777,'e',r
1603890282.6159735,Key.space,p
1603890282.704816,Key.space,r
1603890282.8159153,'t',p
1603890282.9270935,'t',r
1603890282.93608,'i',p
1603890283.0219066,'m',p
1603890283.1140318,'i',r
1603890283.1756709,'m',r
1603890283.1880727,'e',p
1603890283.3097684,Key.space,p
1603890283.327068,'e',r
1603890283.4085526,Key.space,r
1603890283.5457861,'b',p
1603890283.6522114,'b',r
1603890283.8010886,'e',p
1603890283.9696653,'t',p
1603890283.9772515,'e',r
1603890284.1044765,'t',r
1603890284.1748807,'w',p
1603890284.3300874,'w',r
1603890284.3582323,'e',p
1603890284.4559135,'e',r
1603890284.5317142,'e',p
1603890284.6199205,'e',r
1603890284.6699135,'n',p
1603890284.7865198,'n',r
1603890284.9524632,Key.space,p
1603890285.060823,Key.space,r
1603890285.2204275,'a',p
1603890285.3421748,'a',r
1603890285.4546578,Key.space,p
1603890285.6003919,Key.space,r
1603890285.7431357,'k',p
1603890285.836138,'k',r
1603890285.8977458,'e',p
1603890286.0091586,'e',r
1603890286.0619338,'y',p
1603890286.1510208,'y',r
1603890286.2472222,Key.space,p
1603890286.3509798,Key.space,r
1603890286.478798,'p',p
1603890286.5910149,'p',r
1603890286.7019124,'a',p
1603890286.8318622,'a',r
1603890287.0139363,'i',p
1603890287.1297889,'i',r
1603890287.376987,'r',p
1603890287.4860601,'r',r
1603890287.7228878,Key.space,p
1603890287.7933567,Key.space,r
1603890287.8440719,'f',p
1603890287.979006,'o',p
1603890287.992858,'f',r
1603890288.0775256,'o',r
1603890288.1268241,'r',p
1603890288.253123,'r',r
1603890288.2920966,Key.space,p
1603890288.3998356,Key.space,r
1603890288.6778753,'e',p
1603890288.7748299,'a',p
1603890288.8218575,'e',r
1603890288.934101,'a',r
1603890289.235819,'c',p
1603890289.3609564,'c',r
1603890289.394689,'h',p
1603890289.5341945,'h',r
1603890289.9868608,Key.space,p
1603890290.0849714,Key.space,r
1603890290.194892,'p',p
1603890290.2748826,'p',r
1603890290.311602,'e',p
1603890290.3965201,'r',p
1603890290.428927,'e',r
1603890290.4947827,'r',r
1603890290.6033149,'s',p
1603890290.7097042,'o',p
1603890290.742021,'s',r
1603890290.8459914,'n',p
1603890290.8911734,'o',r
1603890291.0084727,'n',r
1603890291.2516673,'.',p
1603890291.3771346,'.',r
1603890291.4408164,Key.space,p
1603890291.516058,Key.space,r
1603890291.7909863,Key.shift,p
1603890291.9417486,'T',p
1603890292.0488095,'T',r
1603890292.080881,Key.shift,r
1603890292.470507,'o',p
1603890292.582933,'o',r
1603890292.849967,Key.space,p
1603890292.9677413,Key.space,r
1603890293.1195188,'i',p
1603890293.2172236,'i',r
1603890293.3208227,'d',p
1603890293.4179926,'d',r
1603890293.5287368,'e',p
1603890293.6646805,'e',r
1603890294.0698078,'n',p
1603890294.1730025,'n',r
1603890294.327899,'t',p
1603890294.435396,'t',r
1603890294.4470975,'i',p
1603890294.5706651,'i',r
1603890294.6678295,'f',p
1603890294.7871845,'f',r
1603890294.8620298,'y',p
1603890294.9929655,'y',r
1603890295.0631394,Key.space,p
1603890295.148981,Key.space,r
1603890295.20976,'a',p
1603890295.3450415,'a',r
1603890295.7231445,Key.space,p
1603890295.8446336,Key.space,r
1603890295.9558458,'p',p
1603890296.0538816,'p',r
1603890296.1151843,'e',p
1603890296.2276556,'r',p
1603890296.246681,'e',r
1603890296.2988834,'r',r
1603890296.430867,'s',p
1603890296.520003,'o',p
1603890296.5618906,'s',r
1603890296.6228714,'n',p
1603890296.669041,'o',r
1603890296.7401857,'n',r
1603890296.886925,"','",p
1603890296.9650273,"','",r
1603890297.0414941,Key.space,p
1603890297.129933,Key.space,r
1603890297.316952,'w',p
1603890297.4199116,'e',p
1603890297.470528,'w',r
1603890297.5549686,'e',r
1603890297.6486359,Key.space,p
1603890297.752957,Key.space,r
1603890297.9001021,'c',p
1603890297.9897435,'a',p
1603890298.0298488,'c',r
1603890298.1331587,'a',r
1603890298.2012463,'n',p
1603890298.3277013,'n',r
1603890298.932046,Key.space,p
1603890299.0208542,Key.space,r
1603890299.0859473,'a',p
1603890299.212222,'s',p
1603890299.2591617,'a',r
1603890299.380516,'s',r
1603890299.4390051,'k',p
1603890299.5362945,'k',r
1603890300.0228188,Key.space,p
1603890300.143956,Key.space,r
1603890300.1849225,'a',p
1603890300.3211145,'a',r
1603890300.4638588,Key.space,p
1603890300.5590506,Key.space,r
1603890300.6383932,'p',p
1603890300.7360315,'p',r
1603890300.7858782,'e',p
1603890300.8829286,'r',p
1603890300.9113953,'e',r
1603890301.0007076,'r',r
1603890301.1548223,'s',p
1603890301.2757738,'o',p
1603890301.289733,'s',r
1603890301.4388642,'o',r
1603890302.200664,Key.space,p
1603890302.2895408,Key.space,r
1603890302.4186196,'t',p
1603890302.526159,'t',r
1603890302.6701086,'o',p
1603890302.7670064,'o',r
1603890303.2656865,Key.space,p
1603890303.3684852,Key.space,r
1603890303.467304,'t',p
1603890303.556664,'t',r
1603890303.6527164,'y',p
1603890303.7313647,'y',r
1603890303.79707,'p',p
1603890303.8895576,'p',r
1603890304.0390136,'e',p
1603890304.1462061,'e',r
1603890304.2200654,Key.space,p
1603890304.3090258,Key.space,r
1603890304.3771274,'a',p
1603890304.517073,'a',r
1603890304.528857,Key.space,p
1603890304.6291075,Key.space,r
1603890304.7332125,Key.shift,p
1603890304.894246,'(',p
1603890304.983219,'(',r
1603890305.020174,Key.shift,r
1603890305.1820555,'l',p
1603890305.2509592,'l',r
1603890305.3529265,'o',p
1603890305.4231577,'n',p
1603890305.4507947,'o',r
1603890305.5401137,'g',p
1603890305.5559628,'n',r
1603890305.6192553,'g',r
1603890305.6916373,Key.shift,p
1603890305.7951884,')',p
1603890305.9127584,')',r
1603890305.9724398,Key.shift,r
1603890306.258257,Key.space,p
1603890306.3614197,Key.space,r
1603890306.466503,'p',p
1603890306.5638185,'p',r
1603890306.5780666,'a',p
1603890306.6947453,'a',r
1603890306.7473001,'r',p
1603890306.8630037,'a',p
1603890306.8958871,'r',r
1603890307.0455081,'a',r
1603890307.0639791,'g',p
1603890307.199925,'r',p
1603890307.2463174,'g',r
1603890307.2557876,'a',p
1603890307.3819518,'r',r
1603890307.4004705,'a',r
1603890307.4827511,'p',p
1603890307.5813553,'p',r
1603890307.6783,'h',p
1603890307.7708766,'h',r
1603890308.0351005,Key.space,p
1603890308.110729,Key.space,r
1603890308.1939957,'a',p
1603890308.3334486,'n',p
1603890308.35114,'a',r
1603890308.430793,'n',r
1603890308.4771063,'d',p
1603890308.570719,Key.space,p
1603890308.5882995,'d',r
1603890308.6833324,Key.space,r
1603890308.7825615,'c',p
1603890308.8701813,'a',p
1603890308.9409978,'c',r
1603890309.039061,'a',r
1603890309.077903,'l',p
1603890309.1846783,'l',r
1603890309.294404,'c',p
1603890309.444751,'c',r
1603890309.4597487,'u',p
1603890309.533383,'u',r
1603890309.700925,'l',p
1603890309.7761636,'l',r
1603890309.81135,'a',p
1603890309.9570153,'a',r
1603890310.0037532,'t',p
1603890310.1496947,'t',r
1603890310.177043,'e',p
1603890310.3364089,'e',r
1603890310.7395403,Key.space,p
1603890310.8250065,Key.space,r
1603890310.9327466,'t',p
1603890311.0251026,'t',r
1603890311.0667212,'i',p
1603890311.174906,'m',p
1603890311.2544987,'i',r
1603890311.3335583,'m',r
1603890311.3867502,'e',p
1603890311.517008,'e',r
1603890311.5607479,Key.space,p
1603890311.6596162,Key.space,r
1603890311.779827,'b',p
1603890311.887052,'b',r
1603890311.991554,'e',p
1603890312.1318092,'t',p
1603890312.1411266,'e',r
1603890312.2618072,'t',r
1603890312.2718086,'w',p
1603890312.4258683,'e',p
1603890312.4359078,'w',r
1603890312.538313,'e',r
1603890312.608934,'e',p
1603890312.7147977,'e',r
1603890312.759266,'n',p
1603890312.9000273,'n',r
1603890313.0194058,Key.space,p
1603890313.1187382,Key.space,r
1603890313.4587982,'e',p
1603890313.6049302,'a',p
1603890313.6511674,'e',r
1603890313.7638404,'a',r
1603890313.8510706,'c',p
1603890313.9956253,'c',r
1603890314.0687406,'h',p
1603890314.1750605,'h',r
1603890314.692731,Key.space,p
1603890314.8006527,Key.space,r
1603890314.9348314,'k',p
1603890315.0337536,'k',r
1603890315.0718215,'e',p
1603890315.1932013,'e',r
1603890315.2030604,'y',p
1603890315.273028,'y',r
1603890315.3934443,Key.space,p
1603890315.4966383,Key.space,r
1603890315.590111,'p',p
1603890315.6689694,'p',r
1603890315.7343357,'a',p
1603890315.8649962,'a',r
1603890315.9005964,'i',p
1603890315.9841225,'i',r
1603890316.1491754,'r',p
1603890316.2513065,'r',r
1603890316.8298845,'.',p
1603890316.9462814,'.',r
1603890317.0793371,Key.space,p
1603890317.159894,Key.space,r
1603890317.2211628,Key.shift,p
1603890317.3490796,'T',p
1603890317.447166,'T',r
1603890317.4694164,Key.shift,r
1603890317.5934486,'h',p
1603890317.6768172,'h',r
1603890317.7450647,'e',p
1603890317.8698623,'e',r
1603890317.9777548,'n',p
1603890318.08085,'n',r
1603890318.271867,"','",p
1603890318.364954,"','",r
1603890318.4416425,Key.space,p
1603890318.5498433,Key.space,r
1603890318.6299534,'w',p
1603890318.7232826,'e',p
1603890318.7780223,'w',r
1603890318.8441885,'e',r
1603890319.122286,Key.space,p
1603890319.2341194,Key.space,r
1603890319.3618274,'c',p
1603890319.463345,'a',p
1603890319.5010495,'c',r
1603890319.6179194,'a',r
1603890319.6368275,'n',p
1603890319.7910209,'n',r
1603890320.006022,Key.space,p
1603890320.1140866,Key.space,r
1603890320.182192,'a',p
1603890320.3077025,'a',r
1603890320.3610256,'p',p
1603890320.427327,'p',r
1603890320.5218215,'p',p
1603890320.591881,'p',r
1603890320.7237852,'l',p
1603890320.8355885,'l',r
1603890320.9157765,'y',p
1603890321.0277324,'y',r
1603890321.5816796,Key.space,p
1603890321.6757505,Key.space,r
1603890321.785123,'t',p
1603890321.8931699,'t',r
1603890321.907261,'h',p
1603890322.0370667,'h',r
1603890322.1528337,'e',p
1603890322.2698925,'e',r
1603890322.5893302,Key.space,p
1603890322.7109952,Key.space,r
